REGIONE	TIPO	FUNZIONE	MONOMULTI	OPENGG	UTENTIATT_TOT	PATRIMONIO_TOT	PINT_BEF	PINT_AFT	PEST_BEF	PEST_AFT	CONSUL_BEF	CONSUL_AFT	VOL_BEF	TIRO_BEF	DIGITAL_AFT	PIATDIG_AFT	LABO_AFT	ONLINE_AFT	SOCIAL_AFT	ACCESSO_AFT	PRESTITO_AFT
Veneto	Pubblica	Servizi_specializzati	Specialistico	180	190	33750	1	1	0	0	0	0	0	0	SI	SI	NO	NO	NO	SI	NO
Veneto	Privata	Conservazione	Multidisciplinare	91	1700	75000	2	2	0	0	1	1	0	1	SI	NO	NO	SI	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	165	853	10549	2	0	1	1	0	0	0	0	SI	SI	NO	NO	SI	SI	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	152	509	9140	0	0	1	1	0	0	0	0	SI	SI	NO	NO	NO	SI	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	150	643	8314	0	0	1	1	0	0	0	0	SI	SI	SI	NO	SI	NO	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	145	580	6764	0	0	1	1	0	0	0	0	SI	SI	SI	NO	SI	NO	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	141	915	9856	0	0	2	2	0	0	5	0	NO	SI	NO	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	152	594	21545	2	2	0	0	0	0	0	0	SI	SI	NO	NO	NO	SI	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	300	173	12248	0	0	0	0	0	0	1	0	SI	SI	NO	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	90	345	12007	0	0	2	1	0	0	0	0	SI	SI	NO	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	158	915	15860	0	0	2	2	0	0	2	0	NO	SI	NO	NO	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	171	1029	14394	0	0	2	2	0	0	1	0	SI	SI	SI	SI	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	230	1263	43414	3	3	0	0	0	0	0	1	SI	SI	SI	SI	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	218	286	18846	1	1	0	0	0	0	6	2	NO	SI	NO	NO	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	230	1628	35785	3	4	0	1	0	0	3	0	NO	SI	SI	NO	NO	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	158	326	22124	0	0	2	2	0	0	0	0	SI	NO	SI	NO	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	134	1082	42218	1	1	1	1	1	1	0	0	SI	SI	SI	NO	NO	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	300	301	27995	2	2	0	0	0	0	0	0	SI	SI	NO	NO	NO	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	112	375	22972	1	1	1	1	0	0	6	0	SI	SI	SI	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	260	588	6535	0	0	2	2	0	0	0	0	SI	SI	SI	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	165	3118	15200	0	0	2	2	0	0	0	0	SI	SI	SI	SI	SI	NO	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	240	1248	37950	3	3	0	0	0	0	0	0	SI	SI	SI	SI	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	188	1354	44738	4	4	0	0	0	0	0	0	SI	SI	SI	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	166	1788	22326	4	2	2	1	0	0	1	0	SI	SI	NO	NO	SI	SI	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	155	261	4360	0	0	1	1	0	0	0	0	SI	SI	NO	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	136	1490	21586	1	1	1	0	1	0	0	0	SI	SI	SI	SI	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	127	501	8214	0	0	1	1	0	0	0	0	SI	SI	NO	NO	NO	SI	SI
Veneto	Privata	Servizi_specializzati	Multidisciplinare	170	86	15000	1	0	0	0	0	0	0	0	SI	SI	NO	NO	NO	NO	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	221	347	9841	0	0	0	0	0	0	3	0	SI	SI	SI	NO	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	130	60	6285	0	0	0	0	0	0	4	0	NO	NO	NO	NO	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	117	5386	17600	1	1	0	0	0	0	0	1	NO	SI	SI	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	240	327	6764	1	1	2	2	0	0	0	0	SI	SI	SI	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	60	300	4820	0	0	0	0	0	0	5	0	NO	SI	NO	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	194	679	23831	1	1	2	2	1	1	0	1	SI	SI	SI	NO	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	212	4446	17154	0	0	3	3	0	0	0	0	SI	SI	NO	SI	SI	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	265	646	12323	0	0	3	3	0	0	0	2	SI	SI	SI	NO	SI	NO	SI
Veneto	Privata	Servizi_specializzati	Multidisciplinare	250	30	70000	1	1	0	0	2	2	1	0	NO	SI	NO	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	91	96	4230	0	0	1	1	0	0	0	0	SI	SI	NO	NO	SI	SI	NO
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	144	145	8996	0	0	0	0	0	0	4	0	SI	SI	NO	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	150	864	7970	1	1	0	0	0	0	4	0	SI	SI	NO	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	178	760	19900	2	2	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	112	462	19986	3	4	1	1	0	0	1	1	SI	SI	NO	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	270	319	13140	0	0	2	2	0	0	3	0	SI	SI	SI	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	200	169	8500	0	0	1	1	0	0	0	0	SI	SI	SI	NO	SI	SI	SI
Veneto	Pubblica	Pubblica_lettura	Multidisciplinare	150	199	4954	0	0	1	1	0	0	0	0	SI	SI	SI	SI	SI	NO	SI
